Name,Count
scott morrison,167
joe biden,89
donald trump,82
boris johnson,39
mark mcgowan,37
josh frydenberg,29
dr norman swan,26
anthony albanese,21
prince philip,21
norman swan,20
craig kelly,20
daniel andrews,16
peter dutton,15
donald trumps,14
bush,14
michael,12
taylor,12
greg hunt,12
cairns,11
nick kyrgios,11
johnson,11
zak kirkup,11
william,11
covid vaccine,10
tim paine,10
koala,10
linda reynolds,10
joyce,10
cleo smith,10
elizabeth,9
serena williams,9
steven marshall,9
dylan alcott,9
malcolm,8
howard springs,8
peter gutwein,8
sally,8
collingwood,8
